decision_id,declared_object,resolved_path,layer,disposition,required_validation
DEC-PROMO-01,(downstream),drafts/EXECUTABLE_APP_DESIGN_v0_1.md,executable_draft,patched,
DEC-PROMO-01,01_TECHNICAL_UST_CANON.md,maestro-current/01_TECHNICAL_UST_CANON.md,current_bundle_doc,patched,"V1,V8,V9"
DEC-PROMO-01,05_GOVERNANCE_SEG.md,maestro-current/05_GOVERNANCE_SEG.md,current_bundle_doc,patched,"V1,V8,V9"
DEC-PROMO-01,06_RUNTIME_RULES.md,maestro-current/06_RUNTIME_RULES.md,current_bundle_doc,patched,"V1,V8,V9"
DEC-PROMO-01,10_TEST_PLAN.md,maestro-current/10_TEST_PLAN.md,current_bundle_doc,patched,"V1,V8,V9"
DEC-PROMO-01,STRATA_MIGRATION_MAP.md,maestro-current/STRATA_MIGRATION_MAP.md,current_bundle_doc,patched,"V1,V8,V9"
DEC-PROMO-01,01_TECHNICAL_UST_CANON.md,maestro-current/build/templates/01_TECHNICAL_UST_CANON.md,build_template,patched,"V1,V8,V9"
DEC-PROMO-01,05_GOVERNANCE_SEG.md,maestro-current/build/templates/05_GOVERNANCE_SEG.md,build_template,patched,"V1,V8,V9"
DEC-PROMO-01,06_RUNTIME_RULES.md,maestro-current/build/templates/06_RUNTIME_RULES.md,build_template,patched,"V1,V8,V9"
DEC-PROMO-01,10_TEST_PLAN.md,maestro-current/build/templates/10_TEST_PLAN.md,build_template,patched,"V1,V8,V9"
DEC-PROMO-01,STRATA_MIGRATION_MAP.md,maestro-current/build/templates/STRATA_MIGRATION_MAP.md,build_template,patched,"V1,V8,V9"
"DEC-PROMO-01,DEC-PROMO-02,DEC-PROMO-03",(downstream),maestro-current/build/test_promotion.py,build_tooling,added,
"DEC-PROMO-01,DEC-PROMO-02,DEC-PROMO-03",(downstream),maestro-current/build/validate_bundle.py,build_tooling,patched,
DEC-PROMO-01..13,(downstream),_PROVENANCE/LEDGER.md,provenance_record,appended,
DEC-PROMO-01..13,(downstream),_PROVENANCE/PROMOTION_2026-09-06.md,provenance_record,added,
DEC-PROMO-01..13,(downstream),maestro-current/MANIFEST.yaml,generated_manifest,regenerated,
DEC-PROMO-01..13,(downstream),maestro-current/build/manifest_meta.yaml,build_tooling,patched,
DEC-PROMO-02,05_GOVERNANCE_SEG.md,maestro-current/05_GOVERNANCE_SEG.md,current_bundle_doc,patched,"V1,V2"
DEC-PROMO-02,STRATA_MIGRATION_MAP.md,maestro-current/STRATA_MIGRATION_MAP.md,current_bundle_doc,patched,"V1,V2"
DEC-PROMO-02,05_GOVERNANCE_SEG.md,maestro-current/build/templates/05_GOVERNANCE_SEG.md,build_template,patched,"V1,V2"
DEC-PROMO-02,STRATA_MIGRATION_MAP.md,maestro-current/build/templates/STRATA_MIGRATION_MAP.md,build_template,patched,"V1,V2"
DEC-PROMO-03,05_GOVERNANCE_SEG.md,maestro-current/05_GOVERNANCE_SEG.md,current_bundle_doc,patched,"V1,V2"
DEC-PROMO-03,10_TEST_PLAN.md,maestro-current/10_TEST_PLAN.md,current_bundle_doc,patched,"V1,V2"
DEC-PROMO-03,05_GOVERNANCE_SEG.md,maestro-current/build/templates/05_GOVERNANCE_SEG.md,build_template,patched,"V1,V2"
DEC-PROMO-03,10_TEST_PLAN.md,maestro-current/build/templates/10_TEST_PLAN.md,build_template,patched,"V1,V2"
DEC-PROMO-04,01_TECHNICAL_UST_CANON.md,maestro-current/01_TECHNICAL_UST_CANON.md,current_bundle_doc,patched,V3
DEC-PROMO-04,02_CREATIVE_UST_TEMPLATE.md,maestro-current/02_CREATIVE_UST_TEMPLATE.md,current_bundle_doc,verified_unchanged,V3
DEC-PROMO-04,03_PHASE_CHAIN.md,maestro-current/03_PHASE_CHAIN.md,current_bundle_doc,verified_unchanged,V3
DEC-PROMO-04,01_TECHNICAL_UST_CANON.md,maestro-current/build/templates/01_TECHNICAL_UST_CANON.md,build_template,patched,V3
DEC-PROMO-04,02_CREATIVE_UST_TEMPLATE.md,maestro-current/build/templates/02_CREATIVE_UST_TEMPLATE.md,build_template,verified_unchanged,V3
DEC-PROMO-04,03_PHASE_CHAIN.md,maestro-current/build/templates/03_PHASE_CHAIN.md,build_template,verified_unchanged,V3
DEC-PROMO-05,04_COUNCIL_TOPOLOGY.md,maestro-current/04_COUNCIL_TOPOLOGY.md,current_bundle_doc,verified_unchanged,V4
DEC-PROMO-05,04_COUNCIL_TOPOLOGY.md,maestro-current/build/templates/04_COUNCIL_TOPOLOGY.md,build_template,verified_unchanged,V4
DEC-PROMO-06,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,"V5,V6"
DEC-PROMO-06,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,"V5,V6"
DEC-PROMO-06,05_GOVERNANCE_SEG.md,maestro-current/05_GOVERNANCE_SEG.md,current_bundle_doc,patched,"V5,V6"
DEC-PROMO-06,05_GOVERNANCE_SEG.md,maestro-current/build/templates/05_GOVERNANCE_SEG.md,build_template,patched,"V5,V6"
DEC-PROMO-07,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,V6
DEC-PROMO-07,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
DEC-PROMO-08,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,V6
DEC-PROMO-08,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
DEC-PROMO-09,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,V6
DEC-PROMO-09,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
DEC-PROMO-10,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,V6
DEC-PROMO-10,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
DEC-PROMO-11,OPEN.md,_PROVENANCE/OPEN.md,provenance_record,patched,V6
DEC-PROMO-11,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
DEC-PROMO-12,00_ROOT_SPEC.md,maestro-current/00_ROOT_SPEC.md,current_bundle_doc,patched,"V3,V7"
DEC-PROMO-12,00_ROOT_SPEC.md,maestro-current/build/templates/00_ROOT_SPEC.md,build_template,patched,"V3,V7"
DEC-PROMO-13,CONTINUATION_2026-09-06.md,_PROVENANCE/CONTINUATION_2026-09-06.md,provenance_record,declared_but_absent_at_baseline,V6
DEC-PROMO-13,STATE.md,_PROVENANCE/STATE.md,provenance_record,patched,V6
