path,disposition,reason,source_git_blob,matches,layer,dependencies,outcome
.claude/skills/maestro-forensic-transcript/06_LESSONS_LEARNED_2026-07.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,1083cdfdc994510d1d1e494bba8c30266051c15f,6,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/CLAUDE.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,5a01b362f6be59b2e73950142abbadeb1c5c9046,1,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/SKILL.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,098f2c3c4c076ac2c9ea88ad5ad685c2102b64d6,3,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/LEDGER.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,fc92bd6b88967fe3cf53b246f209641dd818b1fc,1,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/OPEN.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,b4457a37d031dac1fddaea98d2ce2427e737540d,10,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/P1_NARROW_VERDICT.yaml,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,27252a6d3d336c3a49cd27595dcdf77e313a0bd2,3,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/STATE.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,d09c84b5b832e4f9ecc4c9cf8d00c50fb4a0659f,2,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
Clippings/AI Music.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,778851bcfb7ad2d5dd3d20dcafeb668c8c3a57a7,2,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
Human - Maestro v5b Workspace Discussion.md,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,7ab091e1c372cf1134558e2ea792d519f0b03b5e,2,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
MOSAIC_system_architecture.svg,HISTORICAL_ONLY,Preserved migration evidence; original wording does not independently govern current Maestro. Universal threshold interpretations are superseded by DEC-PROMO-01/02.,2c83c554f0668aeb2b17af2426d2d58d6718073e,2,historical,historical evidence → interpretation only; no byte mutation,PRESERVED_UNCHANGED
