"category","target","path","sizeKB","modified"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_58c4a2f9-7937-4732-9551-7ab0f8440d1d.json","144.2","2026-06-19 12:54"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_63122c11-9c55-4df2-8f99-dd20ef07c708.json","130.2","2026-07-08 20:54"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_970d0a6b-58b1-45a3-a81d-0dd198f7d5f7.json","127.4","2026-07-09 00:42"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742.json","263.2","2026-07-23 02:45"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_c6dfad39-331e-4f0a-9755-badd1cba484c.json","264.3","2026-07-27 13:21"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_fc16fb1a-0bd3-4946-886f-5a8dd7d1fc70.json","123.4","2026-07-08 12:55"
"content-term","Fabric pattern","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\fabric-studio-orchestrator\SKILL.md","8.2","2026-07-23 19:46"
"content-term","Fabric pattern","C:\Users\gamer\Downloads\2025-04-28 - Infiniti G37S Diagnostic Summary.md","188.8","2025-07-20 10:54"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\eventlog_STUCK_COPY_TXT.json","414.2","2026-06-13 23:06"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\mnt\user-data\outputs\pass1\STUCK_COPY.events.json","413.3","2026-06-13 23:06"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\mnt\user-data\outputs\pass1_final\STUCK_COPY.events.json","413.3","2026-06-13 23:06"
