"file","sizeKB","modified"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\00_OPERATOR_ABOUT_ME.md","7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\01_METHODOLOGY.md","5.8","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\02_FAILURE_MODES.md","7.9","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\04_KERNEL.md","5.1","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\05_WORKFLOW.md","4.4","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\06_LESSONS_LEARNED_2026-07.md","4.3","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\MANIFEST.yaml","4.8","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\OPERATOR_CONTEXT.md","2.8","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\README_FIRST.md","1.2","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\SKILL.md","10.8","2026-07-20 18:57"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\SKILL_v1_ORIGINAL.md","9.3","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\examples\EX01_flagship_no_parse_correction.md","1.4","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\examples\EX02_recovered_operator_inputs.md","1.3","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\examples\EX03_contradiction_preservation_CR2.md","1.1","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\classify_mutation.md","1.1","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\detect_phantom_commitment.md","0.7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\establish_congruency.md","0.6","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\extract_operator_turns.md","0.9","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\fold_session.md","0.7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\register_contradiction.md","0.8","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\patterns\verify_coverage.md","0.7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\python\fold_laminate_v0_1.py","17.7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\python\parse_transcript_v0_2.py","6.8","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\python\phantom_detect_v0_1.py","2","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\python\verify_coverage_v0_1.py","1.9","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\state_snapshot_2026-07-19\LEDGER.md","10.7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\state_snapshot_2026-07-19\OPEN.md","3.6","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\state_snapshot_2026-07-19\P1_NARROW_VERDICT.yaml","7","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\state_snapshot_2026-07-19\SNAPSHOT_NOTE.md","0.5","2026-07-20 18:56"
"D:\maestro-on-mosaic\_PROVENANCE\skill_recovered_2026-07-20\maestro-forensic-transcript\state_snapshot_2026-07-19\STATE.md","3.8","2026-07-20 18:56"
