path,line,term,disposition,context,reason
drafts/EXECUTABLE_APP_DESIGN_v0_1.md,131,composite,CURRENT_VALID,"SEM 12-criteria running composite (weights retained; terminal threshold from explicit applicable scoped policy, no numeric default), ",Current explicit scope/configuration or historical explanation; not a universal floor.
drafts/EXECUTABLE_APP_DESIGN_v0_1.md,134,composite,CURRENT_VALID,"close: composite compared with the explicit applicable scoped threshold → G-Card decision artifact,",Current explicit scope/configuration or historical explanation; not a universal floor.
drafts/EXECUTABLE_APP_DESIGN_v0_1.md,134,G-Card,CURRENT_VALID,"e: composite compared with the explicit applicable scoped threshold → G-Card decision artifact,",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/02_CREATIVE_UST_TEMPLATE.md,143,composite,CURRENT_VALID,auto-fail of the production gate regardless of composite (Lyric Change Compliance).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/04_COUNCIL_TOPOLOGY.md,42,G-Card,CURRENT_VALID,"G-Card emitted (the interwoven model of 05, executable form). Tie-break/escalation: creative-axis",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/04_COUNCIL_TOPOLOGY.md,72,G-Card,CURRENT_VALID,"feasibility, G-Card scoring, SE20 checklist, lock compliance, contradiction scan, cap checks —",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,8,composite,CURRENT_VALID,"  Metadata 4/Syllable 4/QA 2), composite = Σ((score/5)×weight). Evaluation capability and",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,14,composite,CURRENT_VALID,Lyric Change Compliance** (unauthorized edits auto-fail regardless of composite).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,15,G-Card,CURRENT_VALID,"- **G-Card** — decision ARTIFACT summarizing SEG result, top deficiencies, required actions",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,28,composite,CURRENT_VALID, delta together (preload ratchet). The terminal surface evaluates the composite,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,30,G-Card,CURRENT_VALID,"hard gates, evidence and lawful exceptions, then emits the G-Card decision artifact. It CLOSES",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,34,G-Card,CURRENT_VALID,"Historical G-Card ≥7.0 scalar = era history (its stratum), not a current second threshold.",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,53,pass_threshold,CURRENT_VALID,  addresses; G.K6.S4 pass_threshold ≥7.0 (the era gate DEC-24 already classifies as history).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,57,G-Card,CURRENT_VALID,  G-Card evidence cites exact AXIS.K#.S#; SE20 failures trigger Phase-2 re-meetings and block,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,59,G-Card,CURRENT_VALID,antee:** P1 nulls logged · P2 SEG+SE20 enforced per axis meeting · P3 G-Card +,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,64,G-Card,CURRENT_VALID,registered as the address-level detail stratum for SEG/G-Card/SE20. It does NOT reinstate ≥7.0 as,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,65,G≥7,CURRENT_VALID,"a current threshold; G≥7 and the song-local SEM target are separate historical mechanisms,",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,73,composite,CURRENT_VALID,"composite 76.8, then Morris: “who said 70% pass? we are 97.5% pass”. Source:",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,73,97.5%,CURRENT_VALID,"composite 76.8, then Morris: “who said 70% pass? we are 97.5% pass”. Source:",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,75,97.5,CURRENT_VALID,3547–3612 (operator statement at 3599). The 97.5 value is RUN_LOCAL_VALID there. CR-009-derived,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/05_GOVERNANCE_SEG.md,77,PASS_THRESHOLD,CURRENT_VALID,Session PASS_THRESHOLD input is demonstrated in `code/D-Maestro/maestro-ai-music-system-main/Activity.txt`,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/06_RUNTIME_RULES.md,11,composite,CURRENT_VALID,surface** — SEM criteria interwoven throughout construction (DEC-24); composite evaluated against explicit applicable scoped policy + independent hard gates + G-Card close (05); n,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/06_RUNTIME_RULES.md,11,G-Card,CURRENT_VALID, against explicit applicable scoped policy + independent hard gates + G-Card close (05); no universal numeric default. Missing threshold authority/applicability produces an unr,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/10_TEST_PLAN.md,7,composite,CURRENT_VALID,score scale and composite formula valid; explicit scoped threshold policy with authority/context,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/STRATA_MIGRATION_MAP.md,56,G-Card,CURRENT_VALID,Historical threshold disposition (DEC-PROMO-01/02): G-Card ≥7.0 remains in its own era;,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/STRATA_MIGRATION_MAP.md,57,97.5,CURRENT_VALID,97.5 remains the target of its identified song interaction. Neither universally supersedes the,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/02_CREATIVE_UST_TEMPLATE.md,143,composite,CURRENT_VALID,auto-fail of the production gate regardless of composite (Lyric Change Compliance).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/04_COUNCIL_TOPOLOGY.md,42,G-Card,CURRENT_VALID,"G-Card emitted (the interwoven model of 05, executable form). Tie-break/escalation: creative-axis",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/04_COUNCIL_TOPOLOGY.md,72,G-Card,CURRENT_VALID,"feasibility, G-Card scoring, SE20 checklist, lock compliance, contradiction scan, cap checks —",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,8,composite,CURRENT_VALID,"  Metadata 4/Syllable 4/QA 2), composite = Σ((score/5)×weight). Evaluation capability and",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,14,composite,CURRENT_VALID,Lyric Change Compliance** (unauthorized edits auto-fail regardless of composite).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,15,G-Card,CURRENT_VALID,"- **G-Card** — decision ARTIFACT summarizing SEG result, top deficiencies, required actions",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,28,composite,CURRENT_VALID, delta together (preload ratchet). The terminal surface evaluates the composite,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,30,G-Card,CURRENT_VALID,"hard gates, evidence and lawful exceptions, then emits the G-Card decision artifact. It CLOSES",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,34,G-Card,CURRENT_VALID,"Historical G-Card ≥7.0 scalar = era history (its stratum), not a current second threshold.",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,53,pass_threshold,CURRENT_VALID,  addresses; G.K6.S4 pass_threshold ≥7.0 (the era gate DEC-24 already classifies as history).,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,57,G-Card,CURRENT_VALID,  G-Card evidence cites exact AXIS.K#.S#; SE20 failures trigger Phase-2 re-meetings and block,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,59,G-Card,CURRENT_VALID,antee:** P1 nulls logged · P2 SEG+SE20 enforced per axis meeting · P3 G-Card +,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,64,G-Card,CURRENT_VALID,registered as the address-level detail stratum for SEG/G-Card/SE20. It does NOT reinstate ≥7.0 as,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,65,G≥7,CURRENT_VALID,"a current threshold; G≥7 and the song-local SEM target are separate historical mechanisms,",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,73,composite,CURRENT_VALID,"composite 76.8, then Morris: “who said 70% pass? we are 97.5% pass”. Source:",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,73,97.5%,CURRENT_VALID,"composite 76.8, then Morris: “who said 70% pass? we are 97.5% pass”. Source:",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,75,97.5,CURRENT_VALID,3547–3612 (operator statement at 3599). The 97.5 value is RUN_LOCAL_VALID there. CR-009-derived,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/05_GOVERNANCE_SEG.md,77,PASS_THRESHOLD,CURRENT_VALID,Session PASS_THRESHOLD input is demonstrated in `code/D-Maestro/maestro-ai-music-system-main/Activity.txt`,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/06_RUNTIME_RULES.md,11,composite,CURRENT_VALID,surface** — SEM criteria interwoven throughout construction (DEC-24); composite evaluated against explicit applicable scoped policy + independent hard gates + G-Card close (05); n,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/06_RUNTIME_RULES.md,11,G-Card,CURRENT_VALID, against explicit applicable scoped policy + independent hard gates + G-Card close (05); no universal numeric default. Missing threshold authority/applicability produces an unr,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/10_TEST_PLAN.md,7,composite,CURRENT_VALID,score scale and composite formula valid; explicit scoped threshold policy with authority/context,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/STRATA_MIGRATION_MAP.md,56,G-Card,CURRENT_VALID,Historical threshold disposition (DEC-PROMO-01/02): G-Card ≥7.0 remains in its own era;,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/templates/STRATA_MIGRATION_MAP.md,57,97.5,CURRENT_VALID,97.5 remains the target of its identified song interaction. Neither universally supersedes the,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,55,composite,CURRENT_VALID,"    composite = sum(scores[k] / config['score_max'] * w for k,w in config['weights'].items())",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,56,composite,CURRENT_VALID,"    return {'composite': composite, 'numeric_pass': composite >= policy['threshold'],",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,56,composite,CURRENT_VALID,"    return {'composite': composite, 'numeric_pass': composite >= policy['threshold'],",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,56,composite,CURRENT_VALID,"    return {'composite': composite, 'numeric_pass': composite >= policy['threshold'],",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,77,composite,CURRENT_VALID,        if re.search(r'composite\s*≥\s*97\.5|release floor\s*\*\*97\.5|locked operator values \(97\.5\)|floor 97\.5 terminal|97\.5 f,Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,77,release floor,CURRENT_VALID,"        if re.search(r'composite\s*≥\s*97\.5|release floor\s*\*\*97\.5|locked operator values \(97\.5\)|floor 97\.5 terminal|97\.5 floor present',t):",Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/validate_bundle.py,82,composite,CURRENT_VALID,    if 'composite = Σ((score/5)×weight)' not in allt['05_GOVERNANCE_SEG.md']: errs.append('A5 formula missing'),Current explicit scope/configuration or historical explanation; not a universal floor.
maestro-current/build/test_promotion.py,21,97.5,CURRENT_VALID,"    p={'threshold':97.5,'scope':'run','context_ref':'song_test_2025-12-07_001/decomposer_v1.6_run_001','authority_ref':'DEC-PROMO-01; source transcript operator line 3599'}","Build regression fixture, including intentional negative example; no production-runtime default."
maestro-current/build/test_promotion.py,24,composite,CURRENT_VALID,"    check('run-local 76.8 does not meet its explicit target',abs(result['composite']-76.8)<1e-8 and result['numeric_pass'] is False)","Build regression fixture, including intentional negative example; no production-runtime default."
maestro-current/build/test_promotion.py,41,composite,CURRENT_VALID,        f=out/'05_GOVERNANCE_SEG.md';f.write_text(f.read_text()+'\ncomposite ≥97.5 → G-Card\n'),"Build regression fixture, including intentional negative example; no production-runtime default."
maestro-current/build/test_promotion.py,41,97.5,CURRENT_VALID,        f=out/'05_GOVERNANCE_SEG.md';f.write_text(f.read_text()+'\ncomposite ≥97.5 → G-Card\n'),"Build regression fixture, including intentional negative example; no production-runtime default."
maestro-current/build/test_promotion.py,41,G-Card,CURRENT_VALID,        f=out/'05_GOVERNANCE_SEG.md';f.write_text(f.read_text()+'\ncomposite ≥97.5 → G-Card\n'),"Build regression fixture, including intentional negative example; no production-runtime default."
