segment_id,marker_type,total_phrase_hits,phrase_counts
EQ0001-S0001,BEGIN_PREVIOUS_SESSION,10,Suno v4.5=10
EQ0001-S0002,PROMPT_LABEL,5,Suno v4.5=5
EQ0001-S0003,SOURCES_LABEL,0,
EQ0001-S0004,SOURCES_LABEL,0,
EQ0001-S0005,SOURCES_LABEL,0,
EQ0001-S0006,SOURCES_LABEL,0,
EQ0001-S0007,SOURCES_LABEL,3,Suno v4.5=2; virtual SME=1
EQ0001-S0008,SOURCES_LABEL,2,Suno v4.5=1; virtual SME=1
EQ0001-S0009,SOURCES_LABEL,0,
EQ0001-S0010,USER_SAID,10,Suno v4.5=10
EQ0001-S0011,ASSISTANT_THOUGHT_MODEL,1,Suno v4.5=1
EQ0001-S0012,USER_SAID,1,web based gpt and suno=1
EQ0001-S0013,ASSISTANT_THOUGHT_MODEL,2,PoC Mode=2
EQ0001-S0014,USER_SAID,0,
EQ0001-S0015,ASSISTANT_THOUGHT_MODEL,3,PoC Mode=1; Suno v4.5=2
EQ0001-S0016,USER_SAID,0,
EQ0001-S0017,ASSISTANT_THOUGHT_MODEL,1,Suno v4.5=1
EQ0001-S0018,USER_SAID,0,
EQ0001-S0019,ASSISTANT_THOUGHT_MODEL,1,world-class=1
EQ0001-S0020,USER_SAID,0,
EQ0001-S0021,ASSISTANT_THOUGHT_MODEL,1,world-class=1
EQ0001-S0022,USER_SAID,1,Suno v4.5=1
EQ0001-S0023,USER_SAID,0,
EQ0001-S0024,ASSISTANT_THOUGHT_MODEL,1,Suno v4.5=1
EQ0001-S0025,USER_SAID,1,Suno v4.5=1
EQ0001-S0026,USER_SAID,2,Council Decision Matrix=1; virtual SME=1
EQ0001-S0027,ASSISTANT_THOUGHT_MODEL,1,Council Decision Matrix=1
EQ0001-S0028,USER_SAID,1,Scalable Songwriting=1
EQ0001-S0029,ASSISTANT_THOUGHT_MODEL,1,Scalable Songwriting=1
EQ0001-S0030,USER_SAID,4,Conversation Pass Pipeline=3; virtual SME=1
EQ0001-S0031,ASSISTANT_THOUGHT_MODEL,2,Conversation Pass Pipeline=1; virtual SME=1
EQ0001-S0032,USER_SAID,29,Conversation Pass Pipeline=1; Council Decision Matrix=3; PoC Mode=3; Scalable Songwriting=1; Suno v4.5=15; sense-think-research-question-act=2; virtual SME=3; world-class=1
EQ0001-S0033,SOURCES_LABEL,5,Council Decision Matrix=1; PoC Mode=1; Suno v4.5=2; virtual SME=1
EQ0001-S0034,SOURCES_LABEL,2,Council Decision Matrix=1; Suno v4.5=1
EQ0001-S0035,SOURCES_LABEL,2,Council Decision Matrix=1; Suno v4.5=1
EQ0001-S0036,SOURCES_LABEL,3,Suno v4.5=3
EQ0001-S0037,SOURCES_LABEL,7,5 areas=2; Scalable Songwriting=3; world-class=2
EQ0001-S0038,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0039,USER_SAID,3,5 areas=1; Scalable Songwriting=2
EQ0001-S0040,SOURCES_LABEL,7,Scalable Songwriting=2; Suno v4.5=3; virtual SME=1; world-class=1
EQ0001-S0041,SOURCES_LABEL,6,Council Decision Matrix=1; Suno v4.5=4; world-class=1
EQ0001-S0042,SOURCES_LABEL,5,Suno v4.5=4; world-class=1
EQ0001-S0043,SOURCES_LABEL,1,Council Decision Matrix=1
EQ0001-S0044,SOURCES_LABEL,3,virtual SME=1; world-class=2
EQ0001-S0045,SOURCES_LABEL,5,Suno v4.5=3; virtual SME=2
EQ0001-S0046,ASSISTANT_THOUGHT_MODEL,1,Suno v4.5=1
EQ0001-S0047,ASSISTANT_THOUGHT_MODEL,2,Suno v4.5=2
EQ0001-S0048,USER_SAID,6,Suno v4.5=1; [ key | variable.x ]=5
EQ0001-S0049,SOURCES_LABEL,5,Suno v4.5=4; virtual SME=1
EQ0001-S0050,SOURCES_LABEL,2,Suno v4.5=2
EQ0001-S0051,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0052,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0053,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0054,SOURCES_LABEL,3,Suno v4.5=3
EQ0001-S0055,SOURCES_LABEL,2,Suno v4.5=2
EQ0001-S0056,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0057,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0058,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0059,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0060,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0061,SOURCES_LABEL,7,Council Decision Matrix=1; Suno v4.5=5; world-class=1
EQ0001-S0062,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0063,SOURCES_LABEL,8,Council Decision Matrix=1; Suno v4.5=6; world-class=1
EQ0001-S0064,SOURCES_LABEL,7,Council Decision Matrix=1; Suno v4.5=5; world-class=1
EQ0001-S0065,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0066,SOURCES_LABEL,7,Council Decision Matrix=1; Suno v4.5=5; world-class=1
EQ0001-S0067,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0068,SOURCES_LABEL,0,
EQ0001-S0069,SOURCES_LABEL,4,Suno v4.5=4
EQ0001-S0070,SOURCES_LABEL,5,Suno v4.5=5
EQ0001-S0071,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0072,SOURCES_LABEL,0,
EQ0001-S0073,SOURCES_LABEL,6,Suno v4.5=6
EQ0001-S0074,SOURCES_LABEL,2,Suno v4.5=2
EQ0001-S0075,SOURCES_LABEL,13,Council Decision Matrix=1; Suno v4.5=11; world-class=1
EQ0001-S0076,SOURCES_LABEL,0,
EQ0001-S0077,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0078,SOURCES_LABEL,23,Council Decision Matrix=1; Suno v4.5=14; virtual SME=7; world-class=1
