object,surface,layer,locator,offset,family,token,disposition,snippet
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/OPEN.md,historical,B-text,line 27 col 106,2826,TG7,G≥7.0,historical_record,S_SOURCE; actual rubric SEM-12/S1–S12); BICDM-20 undefined; G≥7.0 vs 97.5% resolved as generation-eligibility vs release
.claude/skills/maestro-forensic-transcript/state_snapshot_2026-07-19/OPEN.md,historical,B-text,line 27 col 115,2835,T97,97.5,historical_record,actual rubric SEM-12/S1–S12); BICDM-20 undefined; G≥7.0 vs 97.5% resolved as generation-eligibility vs release-grade —
_PROVENANCE/CONTINUATION_2026-09-06.md,record,B-text,line 55 col 65,3350,T97,97.5,provenance_record,"corpus's strongest surviving *universal-floor* phrasings — ""97.5% release threshold"", ""97.5% default threshold"", ""enforc"
_PROVENANCE/CONTINUATION_2026-09-06.md,record,B-text,line 56 col 14,3377,T97,97.5,provenance_record,"g *universal-floor* phrasings — ""97.5% release threshold"", ""97.5% default threshold"", ""enforced at three layers (default"
_PROVENANCE/CONTINUATION_2026-09-06.md,record,B-text,line 93 col 36,5846,T97,97.5,provenance_record,", bounded numeric tokens (`997.55859` no longer reads as `97.5`), and a Layer-A/Layer-B cross-check that makes a mis"
_PROVENANCE/LEDGER.md,record,B-text,line 127 col 102,15453,T97,97.5,provenance_record,"e umbrella; SEM = its weighted scoring system (12 criteria, 97.5 floor); feasibility/structural = sub-gates or era alias"
_PROVENANCE/LEDGER.md,record,B-text,line 131 col 469,16250,T97,97.5,provenance_record,"rom files alone and comprehended axis set, M13 timing home, 97.5 gate, ship form). Rung: persisted, PROPOSAL-class — **o"
_PROVENANCE/LEDGER.md,record,B-text,line 136 col 181,17193,T97,97.5,provenance_record,ls and round-robins/management reviews; terminal composite ≥97.5 + G-Card closes; historical G-Card ≥7.0 = era history.
_PROVENANCE/LEDGER.md,record,B-text,line 136 col 214,17226,TG7,G-Card ≥7.0,provenance_record,views; terminal composite ≥97.5 + G-Card closes; historical G-Card ≥7.0 = era history. - **DEC-25** Syllable rule = styl
_PROVENANCE/LEDGER.md,record,B-text,line 161 col 904,21697,TG7,≥7.0,provenance_record,"ess space REGISTERED (05: SEG.K1–K5 / G.K1–K6 / SE20.K1–K7, ≥7.0 stays era history, third SEG alias ""Structural & Engine"
_PROVENANCE/LEDGER.md,record,B-text,line 258 col 75,44945,T97,97.5,provenance_record,"he corpus's strongest surviving universal-floor phrasings (""97.5% release threshold"", ""97.5% default threshold"", ""enforc"
_PROVENANCE/LEDGER.md,record,B-text,line 259 col 14,44972,T97,97.5,provenance_record,"ving universal-floor phrasings (""97.5% release threshold"", ""97.5% default threshold"", ""enforced at three layers"") live i"
_PROVENANCE/OPEN.md,record,B-text,line 27 col 106,2826,TG7,G≥7.0,provenance_record,S_SOURCE; actual rubric SEM-12/S1–S12); BICDM-20 undefined; G≥7.0 vs 97.5% resolved as generation-eligibility vs release
_PROVENANCE/OPEN.md,record,B-text,line 27 col 115,2835,T97,97.5,provenance_record,actual rubric SEM-12/S1–S12); BICDM-20 undefined; G≥7.0 vs 97.5% resolved as generation-eligibility vs release-grade —
_PROVENANCE/P1_narrow/_work/session13_window1_operator_verbatim.md,record,B-text,line 433 col 53,27879,T97,97.5,provenance_record,QA 2%. R-P3-SEM-02 [FIRM] Composite weighted threshold ≥ 97.5% (CR-009) src: cumulative_deltas_qaf.md §10 Supers
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 3 col 9879,11510,T97,97.5,provenance_record,"Three-Maestro partition MANDATORY (April 27)\nCR-009 97.5% pass threshold (composite SEM, 0–100 scale)\nTriad"
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 3 col 12141,13772,TG7,≥7.0,provenance_record,SEM-12 rel. IMPL+CANON BLOCKING\nGAP-09 G-Card scalar (≥7.0/10 vs ≥97.5/100) IMPL+NAMING BLOCKING\nGAP-10 HPA aggr
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 3 col 12153,13784,T97,97.5,provenance_record,IMPL+CANON BLOCKING\nGAP-09 G-Card scalar (≥7.0/10 vs ≥97.5/100) IMPL+NAMING BLOCKING\nGAP-10 HPA aggregate comput
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 4 col 6261,25889,T97,97.5,provenance_record,aestro partition mandatory (Project/App/Runtime)\n CR-009 97.5% pass threshold (composite SEM 0–100)\n Triad Perfor
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 4 col 16794,36422,T97,97.5,provenance_record,| persona section + v4.5.5 monolith §1.3\nCR-009 97.5% threshold | NOT YET ENCOUNTERED in
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 6 col 8024,54252,T97,97.5,provenance_record,"LAG: T2 SUPPORTED\nANCHOR CHECK: VAA 0.88 vs CR-009 97.5% composite — different scalars,\n differen"
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 20 col 2825,215786,T97,97.5,provenance_record,"ed yet, but R-MC-11 shows up in T-1 TTV references with the 97.5% composite scoring, and R-MC-12 is covered in AAT-01.\n"
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 20 col 12578,225539,T97,97.5,provenance_record,site at AAT-01.7 threshold\n (not directly 97.5%); CR-009 may be a kernel-layer\n prom
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 21 col 9295,247358,T97,97.5,provenance_record,QA 2%.\nR-P3-SEM-02 [FIRM] Composite weighted threshold ≥ 97.5% (CR-009)\n src: cumulative_deltas_qaf.md §10\n Supe
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 22 col 17446,280348,T97,97.5,provenance_record,w) NOT YET in walked strata\nR-P3-SEM-02 (97.5% composite threshold) ANCHOR — T-1 TTV +\n
_PROVENANCE/P1_narrow/_work/session13_window1_segments.jsonl,record,B-text,line 32 col 16156,365456,T97,97.5,provenance_record,saic hosts\n R-P3-SEM-01 / 02 12 SEM criteria + 97.5% threshold\n (Maestro-spec
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 769 col 8004,123041,T97,97.5,provenance_record,and Universal Song Template. There's a quality threshold at 97.5% and various architectural councils and profiles that f
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 769 col 8777,123814,T97,97.5,provenance_record,"evaluated, vis/vig in the destination architecture, and the 97.5% pass threshold as the quality bar. Now I need to decid"
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 770 col 3941,128823,T97,97.5,provenance_record,"perfection mandate\"" (controlled flaw insertion)\n - \""97.5% pass threshold\"" / \""CR-009\"" (quality bar, replaces 7"
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 770 col 7213,132095,T97,97.5,provenance_record,m-commitment failure mode\n - Sacred Imperfection\n - 97.5% threshold\n - UST / Show Summary / Creative UST / A
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 770 col 17193,142075,T97,97.5,provenance_record,canonical shape\n - HPA scoring / HSI injection / SEM\n - 97.5% pass threshold (CR-009)\n - Sacred Imperfection manda
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 770 col 20683,145565,T97,97.5,provenance_record,e output schema\n - HPA/HSI/SEM quality machinery\n - 97.5% threshold quality bar\n - Phantom-commitment failur
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 1355 col 60,178575,T97,97.5,provenance_record,Refined: 12 weighted criteria (S1–S12) with composite ≥97.5% (CR-009 supersedes 70% default). Plus K-axi
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 1686 col 45,203288,T97,97.5,provenance_record,"orth tracking. Now I'm verifying CR-009 itself: the 70% to 97.5% threshold delta is documented in R-P3-SEM-02, so that'"
_PROVENANCE/P1_narrow/_work/session13_window2_operator_verbatim.md,record,B-text,line 1946 col 44,219970,T97,97.5,provenance_record,"R/POST/MAP/LYR), 12-criterion SEM, CR-009 97.5% threshold, K1–K6, Show Summary + Cre"
_PROVENANCE/P1_narrow/_work/session13_window2_segments.jsonl,record,B-text,line 33 col 31174,310600,T97,97.5,provenance_record,"nmapped speakers warning didn't trigger.\n\nI'm noticing \""v97.5\"" in the data, which is probably a joke or placeholder"
_PROVENANCE/P1_narrow/_work/session13_window2_segments.jsonl,record,B-text,line 45 col 8219,382670,T97,97.5,provenance_record,and Universal Song Template. There's a quality threshold at 97.5% and various architectural councils and profiles that f
_PROVENANCE/P1_narrow/_work/session13_window2_segments.jsonl,record,B-text,line 45 col 8992,383443,T97,97.5,provenance_record,"evaluated, vis/vig in the destination architecture, and the 97.5% pass threshold as the quality bar. Now I need to decid"
_PROVENANCE/P1_narrow/_work/session13_window2_segments.jsonl,record,B-text,line 45 col 13905,388356,T97,97.5,provenance_record,"perfection mandate\"" (controlled flaw insertion)\n - \""97.5% pass threshold\"" / \""CR-009\"" (quality bar, replaces 7"
_PROVENANCE/P1_narrow/_work/session13_window2_segments.jsonl,record,B-text,line 45 col 17077,391528,T97,97.5,provenance_record,m-commitment failure mode\n - Sacred Imperfection\n - 97.5% threshold\n - UST / Show Summary / Creative UST / A
